SUMMARY,DTSTART,DTEND,CALENDAR,DURATION,CREATED,TITLE
cafe da manha,2025-06-26 06:30:00,2025-06-26 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-06-26 10:00:00,2025-06-26 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-06-26 12:00:00,2025-06-26 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-06-26 16:00:00,2025-06-26 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-06-26 18:00:00,2025-06-26 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-06-26 20:00:00,2025-06-26 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-06-27 06:30:00,2025-06-27 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-06-27 10:00:00,2025-06-27 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-06-27 12:00:00,2025-06-27 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-06-27 16:00:00,2025-06-27 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-06-27 18:00:00,2025-06-27 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-06-27 20:00:00,2025-06-27 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-06-28 06:30:00,2025-06-28 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-06-28 10:00:00,2025-06-28 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-06-28 12:00:00,2025-06-28 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-06-28 16:00:00,2025-06-28 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-06-28 18:00:00,2025-06-28 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-06-28 20:00:00,2025-06-28 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-06-29 06:30:00,2025-06-29 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-06-29 10:00:00,2025-06-29 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-06-29 12:00:00,2025-06-29 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-06-29 16:00:00,2025-06-29 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-06-29 18:00:00,2025-06-29 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-06-29 20:00:00,2025-06-29 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-06-30 06:30:00,2025-06-30 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-06-30 10:00:00,2025-06-30 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-06-30 12:00:00,2025-06-30 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-06-30 16:00:00,2025-06-30 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-06-30 18:00:00,2025-06-30 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-06-30 20:00:00,2025-06-30 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-01 06:30:00,2025-07-01 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-01 10:00:00,2025-07-01 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-01 12:00:00,2025-07-01 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-01 16:00:00,2025-07-01 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-01 18:00:00,2025-07-01 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-01 20:00:00,2025-07-01 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-02 06:30:00,2025-07-02 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-02 10:00:00,2025-07-02 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-02 12:00:00,2025-07-02 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-02 16:00:00,2025-07-02 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-02 18:00:00,2025-07-02 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-02 20:00:00,2025-07-02 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-03 06:30:00,2025-07-03 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-03 10:00:00,2025-07-03 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-03 12:00:00,2025-07-03 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-03 16:00:00,2025-07-03 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-03 18:00:00,2025-07-03 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-03 20:00:00,2025-07-03 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-04 06:30:00,2025-07-04 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-04 10:00:00,2025-07-04 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-04 12:00:00,2025-07-04 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-04 16:00:00,2025-07-04 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-04 18:00:00,2025-07-04 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-04 20:00:00,2025-07-04 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-05 06:30:00,2025-07-05 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-05 10:00:00,2025-07-05 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-05 12:00:00,2025-07-05 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-05 16:00:00,2025-07-05 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-05 18:00:00,2025-07-05 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-05 20:00:00,2025-07-05 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-06 06:30:00,2025-07-06 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-06 10:00:00,2025-07-06 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-06 12:00:00,2025-07-06 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-06 16:00:00,2025-07-06 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-06 18:00:00,2025-07-06 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-06 20:00:00,2025-07-06 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-07 06:30:00,2025-07-07 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-07 10:00:00,2025-07-07 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-07 12:00:00,2025-07-07 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-07 16:00:00,2025-07-07 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-07 18:00:00,2025-07-07 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-07 20:00:00,2025-07-07 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-08 06:30:00,2025-07-08 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-08 10:00:00,2025-07-08 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-08 12:00:00,2025-07-08 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-08 16:00:00,2025-07-08 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-08 18:00:00,2025-07-08 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-08 20:00:00,2025-07-08 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-09 06:30:00,2025-07-09 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-09 10:00:00,2025-07-09 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-09 12:00:00,2025-07-09 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-09 16:00:00,2025-07-09 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-09 18:00:00,2025-07-09 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-09 20:00:00,2025-07-09 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-10 06:30:00,2025-07-10 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-10 10:00:00,2025-07-10 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-10 12:00:00,2025-07-10 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-10 16:00:00,2025-07-10 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-10 18:00:00,2025-07-10 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-10 20:00:00,2025-07-10 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-11 06:30:00,2025-07-11 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-11 10:00:00,2025-07-11 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-11 12:00:00,2025-07-11 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-11 16:00:00,2025-07-11 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-11 18:00:00,2025-07-11 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-11 20:00:00,2025-07-11 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-12 06:30:00,2025-07-12 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-12 10:00:00,2025-07-12 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-12 12:00:00,2025-07-12 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-12 16:00:00,2025-07-12 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-12 18:00:00,2025-07-12 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-12 20:00:00,2025-07-12 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-13 06:30:00,2025-07-13 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-13 10:00:00,2025-07-13 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-13 12:00:00,2025-07-13 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-13 16:00:00,2025-07-13 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-13 18:00:00,2025-07-13 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-13 20:00:00,2025-07-13 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-14 06:30:00,2025-07-14 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-14 10:00:00,2025-07-14 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-14 12:00:00,2025-07-14 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-14 16:00:00,2025-07-14 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-14 18:00:00,2025-07-14 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-14 20:00:00,2025-07-14 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-15 06:30:00,2025-07-15 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-15 10:00:00,2025-07-15 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-15 12:00:00,2025-07-15 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-15 16:00:00,2025-07-15 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-15 18:00:00,2025-07-15 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-15 20:00:00,2025-07-15 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-16 06:30:00,2025-07-16 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-16 10:00:00,2025-07-16 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-16 12:00:00,2025-07-16 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-16 16:00:00,2025-07-16 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-16 18:00:00,2025-07-16 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-16 20:00:00,2025-07-16 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-17 06:30:00,2025-07-17 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-17 10:00:00,2025-07-17 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-17 12:00:00,2025-07-17 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-17 16:00:00,2025-07-17 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-17 18:00:00,2025-07-17 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-17 20:00:00,2025-07-17 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-07-18 06:30:00,2025-07-18 06:50:00,Alimentação,0.33333333333333,2025-03-10 10:17:00,Have breakfast
lanche da manha,2025-07-18 10:00:00,2025-07-18 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-07-18 12:00:00,2025-07-18 12:20:00,Alimentação,0.33333333333333,2025-03-10 10:20:00,Have lunch
lanche da tarde,2025-07-18 16:00:00,2025-07-18 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-07-18 18:00:00,2025-07-18 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-07-18 20:00:00,2025-07-18 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
inf1410 - gerencia de projetos de informatica,2025-05-12 15:00:00,2025-05-12 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
inf1410 - gerencia de projetos de informatica,2025-05-12 15:00:00,2025-05-12 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
inf1608 - analise numerica,2025-05-13 11:00:00,2025-05-13 13:00:00,PUC,2.0,2025-05-13 00:19:00,Attend INF1608 - Numerical Analysis class
adm1019 - introducao a finanças,2025-05-13 13:00:00,2025-05-13 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1410 - gerencia de projetos de informatica,2025-05-14 15:00:00,2025-05-14 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
adm1019 - introducao a finanças,2025-05-15 13:00:00,2025-05-15 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1410 - gerencia de projetos de informatica,2025-05-19 15:00:00,2025-05-19 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
inf1608 - analise numerica,2025-05-20 11:00:00,2025-05-20 13:00:00,PUC,2.0,2025-05-13 00:19:00,Attend INF1608 - Numerical Analysis class
adm1019 - introducao a finanças,2025-05-20 13:00:00,2025-05-20 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1410 - gerencia de projetos de informatica,2025-05-21 15:00:00,2025-05-21 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
adm1019 - introducao a finanças,2025-05-22 13:00:00,2025-05-22 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1629 - principios de engenharia de software,2025-05-22 15:00:00,2025-05-22 17:00:00,PUC,2.0,2025-05-13 01:22:00,Attend INF1629 - Software Engineering Principles class
inf1410 - gerencia de projetos de informatica,2025-05-26 15:00:00,2025-05-26 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
inf1608 - analise numerica,2025-05-27 11:00:00,2025-05-27 13:00:00,PUC,2.0,2025-05-13 00:19:00,Attend INF1608 - Numerical Analysis class
adm1019 - introducao a finanças,2025-05-27 13:00:00,2025-05-27 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1410 - gerencia de projetos de informatica,2025-05-28 15:00:00,2025-05-28 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
adm1019 - introducao a finanças,2025-05-29 13:00:00,2025-05-29 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1629 - principios de engenharia de software,2025-05-29 15:00:00,2025-05-29 17:00:00,PUC,2.0,2025-05-13 01:22:00,Attend INF1629 - Software Engineering Principles class
inf1410 - gerencia de projetos de informatica,2025-06-02 15:00:00,2025-06-02 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
inf1608 - analise numerica,2025-06-03 11:00:00,2025-06-03 13:00:00,PUC,2.0,2025-05-13 00:19:00,Attend INF1608 - Numerical Analysis class
adm1019 - introducao a finanças,2025-06-03 13:00:00,2025-06-03 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1410 - gerencia de projetos de informatica,2025-06-04 15:00:00,2025-06-04 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
adm1019 - introducao a finanças,2025-06-05 13:00:00,2025-06-05 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1629 - principios de engenharia de software,2025-06-05 15:00:00,2025-06-05 17:00:00,PUC,2.0,2025-05-13 01:22:00,Attend INF1629 - Software Engineering Principles class
inf1410 - gerencia de projetos de informatica,2025-06-09 15:00:00,2025-06-09 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
inf1608 - analise numerica,2025-06-10 11:00:00,2025-06-10 13:00:00,PUC,2.0,2025-05-13 00:19:00,Attend INF1608 - Numerical Analysis class
adm1019 - introducao a finanças,2025-06-10 13:00:00,2025-06-10 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1410 - gerencia de projetos de informatica,2025-06-11 15:00:00,2025-06-11 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
adm1019 - introducao a finanças,2025-06-12 13:00:00,2025-06-12 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1629 - principios de engenharia de software,2025-06-12 15:00:00,2025-06-12 17:00:00,PUC,2.0,2025-05-13 01:22:00,Attend INF1629 - Software Engineering Principles class
inf1410 - gerencia de projetos de informatica,2025-06-16 15:00:00,2025-06-16 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
inf1608 - analise numerica,2025-06-17 11:00:00,2025-06-17 13:00:00,PUC,2.0,2025-05-13 00:19:00,Attend INF1608 - Numerical Analysis class
adm1019 - introducao a finanças,2025-06-17 13:00:00,2025-06-17 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1410 - gerencia de projetos de informatica,2025-06-18 15:00:00,2025-06-18 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
adm1019 - introducao a finanças,2025-06-19 13:00:00,2025-06-19 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1629 - principios de engenharia de software,2025-06-19 15:00:00,2025-06-19 17:00:00,PUC,2.0,2025-05-13 01:22:00,Attend INF1629 - Software Engineering Principles class
inf1410 - gerencia de projetos de informatica,2025-06-23 15:00:00,2025-06-23 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
inf1608 - analise numerica,2025-06-24 11:00:00,2025-06-24 13:00:00,PUC,2.0,2025-05-13 00:19:00,Attend INF1608 - Numerical Analysis class
adm1019 - introducao a finanças,2025-06-24 13:00:00,2025-06-24 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1410 - gerencia de projetos de informatica,2025-06-25 15:00:00,2025-06-25 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
adm1019 - introducao a finanças,2025-06-26 13:00:00,2025-06-26 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1629 - principios de engenharia de software,2025-06-26 15:00:00,2025-06-26 17:00:00,PUC,2.0,2025-05-13 01:22:00,Attend INF1629 - Software Engineering Principles class
inf1410 - gerencia de projetos de informatica,2025-06-30 15:00:00,2025-06-30 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
inf1608 - analise numerica,2025-07-01 11:00:00,2025-07-01 13:00:00,PUC,2.0,2025-05-13 00:19:00,Attend INF1608 - Numerical Analysis class
adm1019 - introducao a finanças,2025-07-01 13:00:00,2025-07-01 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1410 - gerencia de projetos de informatica,2025-07-02 15:00:00,2025-07-02 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
adm1019 - introducao a finanças,2025-07-03 13:00:00,2025-07-03 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1629 - principios de engenharia de software,2025-07-03 15:00:00,2025-07-03 17:00:00,PUC,2.0,2025-05-13 01:22:00,Attend INF1629 - Software Engineering Principles class
inf1410 - gerencia de projetos de informatica,2025-07-07 15:00:00,2025-07-07 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
inf1608 - analise numerica,2025-07-08 11:00:00,2025-07-08 13:00:00,PUC,2.0,2025-05-13 00:19:00,Attend INF1608 - Numerical Analysis class
adm1019 - introducao a finanças,2025-07-08 13:00:00,2025-07-08 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1410 - gerencia de projetos de informatica,2025-07-09 15:00:00,2025-07-09 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
adm1019 - introducao a finanças,2025-07-10 13:00:00,2025-07-10 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1629 - principios de engenharia de software,2025-07-10 15:00:00,2025-07-10 17:00:00,PUC,2.0,2025-05-13 01:22:00,Attend INF1629 - Software Engineering Principles class
inf1410 - gerencia de projetos de informatica,2025-07-14 15:00:00,2025-07-14 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
inf1608 - analise numerica,2025-07-15 11:00:00,2025-07-15 13:00:00,PUC,2.0,2025-05-13 00:19:00,Attend INF1608 - Numerical Analysis class
adm1019 - introducao a finanças,2025-07-15 13:00:00,2025-07-15 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1410 - gerencia de projetos de informatica,2025-07-16 15:00:00,2025-07-16 17:00:00,PUC,2.0,2025-05-13 00:21:00,Attend INF1410 - IT Project Management class
adm1019 - introducao a finanças,2025-07-17 13:00:00,2025-07-17 15:00:00,PUC,2.0,2025-05-13 00:19:00,Attend ADM1019 - Introduction to Finance class
inf1629 - principios de engenharia de software,2025-07-17 15:00:00,2025-07-17 17:00:00,PUC,2.0,2025-05-13 01:22:00,Attend INF1629 - Software Engineering Principles class
psiquiatra,2021-05-19 19:00:00,2021-05-19 20:30:00,Saúde,1.5,2021-05-18 21:23:00,Go to psychiatrist appointment
