SUMMARY,CALENDAR,VERBALIZED
cre1141 - etica crista,PUC,"```json
{
  ""task"": ""Estudar cre1141 - etica crista"",
  ""type"": ""generated""
}
```"
inf1028 - projeto e construcao de sistemas,PUC,"```json
{
  ""task"": ""Fazer o projeto e a construção de sistemas para INF1028."",
  ""type"": ""generated""
}
```"
inf1307 - desenvolvimento de jogos,PUC,"```json
{
  ""task"": ""Desenvolver jogos para INF1307"",
  ""type"": ""generated""
}
```"
inf1771 - inteligencia artificial,PUC,"```json
{
  ""task"": ""Estudar inf1771 - inteligencia artificial"",
  ""type"": ""generated""
}
```"
inf1010 - estruturas de dados avançadas,PUC,"```json
{
  ""task"": ""Estudar inf1010 - estruturas de dados avançadas"",
  ""type"": ""generated""
}
```"
inf1338 - large language models,PUC,"```json
{
  ""task"": ""Estudar inf1338 - large language models"",
  ""type"": ""generated""
}
```"
inf1721 - analise de algoritmos,PUC,"```json
{
  ""task"": ""Estudar análise de algoritmos para INF1721"",
  ""type"": ""generated""
}
```"
inf1036 - probabilidade computacional,PUC,"```json
{
  ""task"": ""Estudar inf1036 - probabilidade computacional"",
  ""type"": ""generated""
}
```"
inf1350 - programacao de sistemas reativos,PUC,"```json
{
  ""task"": ""Programar sistemas reativos para INF1350"",
  ""type"": ""generated""
}
```"
inf1920 - aula expositiva,PUC,"```json
{
  ""task"": ""Assistir à aula expositiva de inf1920"",
  ""type"": ""generated""
}
```"
conversa tcc felipe gameleira,PUC,"```json
{
  ""task"": ""Conversar sobre o TCC com Felipe Gameleira"",
  ""type"": ""generated""
}
```"
mat4162 - calculo ii,PUC,"```json
{
  ""task"": ""Estudar mat4162 - cálculo ii"",
  ""type"": ""generated""
}
```"
inf1314 - gerando startup com inteligencia artificial,PUC,"```json
{
  ""task"": ""Desenvolver uma startup com inteligência artificial para inf1314"",
  ""type"": ""generated""
}
```"
reuniao tcc,PUC,"```json
{
  ""task"": ""Fazer reunião do TCC"",
  ""type"": ""generated""
}
```"
teste calculo ii,PUC,"```json
{
  ""task"": ""Fazer teste de Cálculo II"",
  ""type"": ""generated""
}
```"
devs no pilotis,PUC,"```json
{
  ""task"": ""Encontrar devs no pilotis"",
  ""type"": ""generated""
}
```"
ingresso harry,Social,"```json
{
  ""task"": ""Comprar ingresso para Harry Potter"",
  ""type"": ""generated""
}
```"
niver gabi,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Gabi"",
  ""type"": ""generated""
}
```"
nover sofia k,Social,"```json
{
  ""task"": ""nover sofia k"",
  ""type"": ""original""
}
```"
thor,Social,"```json
{
  ""task"": ""thor"",
  ""type"": ""original""
}
```"
the avengers,Social,"```json
{
  ""task"": ""Assistir The Avengers"",
  ""type"": ""generated""
}
```"
rafael portugal,Social,"```json
{
  ""task"": ""Encontrar Rafael Portugal"",
  ""type"": ""generated""
}
```"
niver giovanna lopes,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Giovanna Lopes"",
  ""type"": ""generated""
}
```"
churrasclerigos,Social,"```json
{
  ""task"": ""Fazer o churrasclerigos"",
  ""type"": ""generated""
}
```"
almoco vo,Social,"```json
{
  ""task"": ""Almoçar com a vovó"",
  ""type"": ""generated""
}
```"
santa sexta,Social,"```json
{
  ""task"": ""Aproveitar a santa sexta"",
  ""type"": ""generated""
}
```"
niver gi fortes,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Gi Fortes"",
  ""type"": ""generated""
}
```"
casamento,Social,"```json
{
  ""task"": ""Comemorar o casamento"",
  ""type"": ""generated""
}
```"
rock in rio,Social,"```json
{
  ""task"": ""Ir ao Rock in Rio"",
  ""type"": ""generated""
}
```"
niver amanda,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Amanda"",
  ""type"": ""generated""
}
```"
niver luana maia,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Luana Maia"",
  ""type"": ""generated""
}
```"
niver lara,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Lara"",
  ""type"": ""generated""
}
```"
niver mae,Social,"```json
{
  ""task"": ""Comemorar o aniversário da mãe"",
  ""type"": ""generated""
}
```"
ballet marina,Social,"```json
{
  ""task"": ""Ir ao ballet com Marina"",
  ""type"": ""generated""
}
```"
harry styles - love on tour - rio de janeiro,Social,"```json
{
  ""task"": ""Assistir ao show do Harry Styles - Love on Tour no Rio de Janeiro"",
  ""type"": ""generated""
}
```"
pulo big jump,Social,"```json
{
  ""task"": ""Pular o big jump"",
  ""type"": ""generated""
}
```"
resenha felipe,Social,"```json
{
  ""task"": ""Fazer resenha com Felipe"",
  ""type"": ""generated""
}
```"
niver isabella,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Isabella"",
  ""type"": ""generated""
}
```"
festa niver,Social,"```json
{
  ""task"": ""Comemorar o aniversário"",
  ""type"": ""generated""
}
```"
niver felipe,Social,"```json
{
  ""task"": ""Comemorar o aniversário do Felipe"",
  ""type"": ""generated""
}
```"
niver laura,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Laura"",
  ""type"": ""generated""
}
```"
niver aninha,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Aninha"",
  ""type"": ""generated""
}
```"
niver rapha,Social,"```json
{
  ""task"": ""Comemorar o aniversário do Rapha"",
  ""type"": ""generated""
}
```"
prime day,Social,"```json
{
  ""task"": ""Aproveitar o Prime Day"",
  ""type"": ""generated""
}
```"
niver julia,Social,"```json
{
  ""task"": ""Comemorar o niver da Julia"",
  ""type"": ""generated""
}
```"
niver carol benchimol,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Carol Benchimol"",
  ""type"": ""generated""
}
```"
festa duda castro,Social,"```json
{
  ""task"": ""Participar da festa da Duda Castro"",
  ""type"": ""generated""
}
```"
churras marcos,Social,"```json
{
  ""task"": ""Fazer churrasco com Marcos"",
  ""type"": ""generated""
}
```"
festa re,Social,"```json
{
  ""task"": ""festa re"",
  ""type"": ""original""
}
```"
viagem secretario,Social,"```json
{
  ""task"": ""Organizar a viagem do secretário"",
  ""type"": ""generated""
}
```"
os barbixas,Social,"```json
{
  ""task"": ""Assistir aos Barbixas"",
  ""type"": ""generated""
}
```"
rpg goulart,Social,"```json
{
  ""task"": ""Jogar RPG com Goulart"",
  ""type"": ""generated""
}
```"
churras caio,Social,"```json
{
  ""task"": ""Ir ao churrasco do Caio"",
  ""type"": ""generated""
}
```"
niver millena,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Millena"",
  ""type"": ""generated""
}
```"
niver lu,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Lu"",
  ""type"": ""generated""
}
```"
niver caroli,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Caroli"",
  ""type"": ""generated""
}
```"
niver be,Social,"```json
{
  ""task"": ""Comemorar o aniversário da Beatriz"",
  ""type"": ""generated""
}
```"
formatura renata,Social,"```json
{
  ""task"": ""Participar da formatura da Renata"",
  ""type"": ""generated""
}
```"
niver lucca,Social,"```json
{
  ""task"": ""Comemorar o aniversário do Lucca"",
  ""type"": ""generated""
}
```"
niver caio,Social,"```json
{
  ""task"": ""Comemorar o niver do Caio"",
  ""type"": ""generated""
}
```"
churras ze,Social,"```json
{
  ""task"": ""Fazer churrasco"",
  ""type"": ""generated""
}
```"
apple developer academy,Trabalho,"```json
{
  ""task"": ""Trabalhar na Apple Developer Academy"",
  ""type"": ""generated""
}
```"
animate ideas with keynote,Trabalho,"```json
{
  ""task"": ""Animar ideias com Keynote"",
  ""type"": ""generated""
}
```"
programar cena,Trabalho,"```json
{
  ""task"": ""programar cena"",
  ""type"": ""original""
}
```"
lab,Trabalho,"```json
{
  ""task"": ""Fazer o lab"",
  ""type"": ""generated""
}
```"
apple,Trabalho,"```json
{
  ""task"": ""apple"",
  ""type"": ""original""
}
```"
academy,Trabalho,"```json
{
  ""task"": ""Fazer a academy"",
  ""type"": ""generated""
}
```"
wwdc,Trabalho,"```json
{
  ""task"": ""Acompanhar a WWDC"",
  ""type"": ""generated""
}
```"
reuniao nick + tio,Trabalho,"```json
{
  ""task"": ""Fazer reunião com Nick e tio"",
  ""type"": ""generated""
}
```"
churrasco academy,Trabalho,"```json
{
  ""task"": ""Fazer o churrasco da academy"",
  ""type"": ""generated""
}
```"
trabalho i9,Trabalho,"```json
{
  ""task"": ""Trabalhar no i9"",
  ""type"": ""generated""
}
```"
i9 cultura,Trabalho,"```json
{
  ""task"": ""Desenvolver a i9 cultura"",
  ""type"": ""generated""
}
```"
reuniao prog atlas,Trabalho,"```json
{
  ""task"": ""Fazer reunião sobre o programa Atlas"",
  ""type"": ""generated""
}
```"
ecoa,Trabalho,"```json
{
  ""task"": ""ecoa"",
  ""type"": ""original""
}
```"
conversa bruno,Trabalho,"```json
{
  ""task"": ""Conversar com Bruno"",
  ""type"": ""generated""
}
```"
reuniao play time - goulart,Trabalho,"```json
{
  ""task"": ""Fazer a reunião play time com Goulart."",
  ""type"": ""generated""
}
```"
reuniao play time,Trabalho,"```json
{
  ""task"": ""Fazer a reunião Play Time"",
  ""type"": ""generated""
}
```"
m3,Trabalho,"```json
{
  ""task"": ""m3"",
  ""type"": ""original""
}
```"
petropolis,Viagens,"```json
{
  ""task"": ""Viajar para Petrópolis"",
  ""type"": ""generated""
}
```"
petropolis torres,Viagens,"```json
{
  ""task"": ""Visitar Petrópolis e as torres"",
  ""type"": ""generated""
}
```"
petropolis juliana,Viagens,"```json
{
  ""task"": ""Viajar para Petrópolis com Juliana"",
  ""type"": ""generated""
}
```"
